location,zip,data
Astoria,11101,64705.18055
Astoria,11102,64705.18055
Astoria,11103,64705.18055
Astoria,11105,64705.18055
Astoria,11106,64705.18055
Battery Park/Tribeca,10280,137034.34957
Battery Park/Tribeca,10004,137034.34957
Battery Park/Tribeca,10006,137034.34957
Battery Park/Tribeca,10282,137034.34957
Battery Park/Tribeca,10281,137034.34957
Battery Park/Tribeca,10279,137034.34957
Battery Park/Tribeca,10270,137034.34957
Battery Park/Tribeca,10007,137034.34957
Battery Park/Tribeca,10013,137034.34957
Bay Ridge,11209,72221.47289
Bayside,11360,88873.98685
Bayside,11361,88873.98685
Bayside,11364,88873.98685
Bedford Park,10458,35830.27778
Bedford Park,10468,35830.27778
Bedford Stuyvesant,11205,44361.8305
Bedford Stuyvesant,11243,44361.8305
Bensonhurst,11214,56124.2671
Bensonhurst,11223,56124.2671
Bensonhurst,11230,56124.2671
Borough Park,11204,48431.84671
Borough Park,11219,48431.84671
Brownsville,11212,30357.96822
Bushwick,11221,48455.40524
Bushwick,11237,48455.40524
Bushwick,11207,48455.40524
Canarsie,11241,77512.04523
Canarsie,11234,77512.04523
Canarsie,11247,77512.04523
Central Harlem,10026,51652.63407
Central Harlem,10030,51652.63407
Central Harlem,10001,51652.63407
Central Harlem,10031,51652.63407
Chelsea/Clinton,10116,114736.76352
Chelsea/Clinton,10060,114736.76352
Chelsea/Clinton,10117,114736.76352
Chelsea/Clinton,12512,114736.76352
Chelsea/Clinton,10121,114736.76352
Chelsea/Clinton,10018,114736.76352
Chelsea/Clinton,10107,114736.76352
Chelsea/Clinton,10036,114736.76352
Chelsea/Clinton,10019,114736.76352
Chelsea/Clinton,13323,114736.76352
Concourse/Highbridge,10451,29310.17463
Concourse/Highbridge,10452,29310.17463
Coney Island,11224,45189.74449
Coney Island,11218,45189.74449
Coney Island,11252,45189.74449
Crown Heights North,11238,51286.91597
Crown Heights North,11216,51286.91597
Crown Heights North,11233,51286.91597
Crown Heights South,11225,50709.17111
Crown Heights South,11213,50709.17111
East Flatbush,11203,56454.0865
East Flatbush,11236,56454.0865
East Harlem,10029,33721.22858
East Harlem,10035,33721.22858
East New York,11208,39375.27536
East New York,11239,39375.27536
East Tremont,10457,26979.00217
East Tremont,10460,26979.00217
Elmhurst/Corona,14701,49063.43964
Elmhurst/Corona,11368,49063.43964
Flatbush/Midwood,11226,55706.9446
Flatbush/Midwood,11210,55706.9446
Flushing,11354,56879.26184
Flushing,11355,56879.26184
Flushing,11352,56879.26184
Flushing,11351,56879.26184
Flushing,11367,56879.26184
Flushing,11358,56879.26184
Flushing,11381,56879.26184
Flushing,11371,56879.26184
Flushing,11356,56879.26184
Flushing,11386,56879.26184
Fresh Meadows/Briarwood,11365,69962.09785
Fresh Meadows/Briarwood,11366,69962.09785
Fresh Meadows/Briarwood,11435,69962.09785
Greenwich Village,10012,137034.34957
Greenwich Village,10003,137034.34957
Greenwich Village,10119,137034.34957
Greenwich Village,10011,137034.34957
Greenwich Village,10014,137034.34957
Howard Beach,11414,75510.69217
Hunts Point,10474,27381.74082
Jackson Heights,11372,60732.76396
Jamaica/St. Albans,11432,65419.78924
Jamaica/St. Albans,11433,65419.78924
Jamaica/St. Albans,11434,65419.78924
Jamaica/St. Albans,11436,65419.78924
Jamaica/St. Albans,11412,65419.78924
Lower East Side,10002,47417.70816
Manhattanville,10027,54614.27762
Midtown Business District,10016,114736.76352
Midtown Business District,10017,114736.76352
Midtown Business District,10022,114736.76352
Morrisania,10456,26979.00217
Morrisania,10459,26979.00217
Mott Haven,10454,27381.74082
Mott Haven,10455,27381.74082
Mott Haven,10037,27381.74082
Murray Hill/Stuyvesant,10165,119870.279
Murray Hill/Stuyvesant,10158,119870.279
Murray Hill/Stuyvesant,10172,119870.279
Murray Hill/Stuyvesant,10177,119870.279
Murray Hill/Stuyvesant,10176,119870.279
Murray Hill/Stuyvesant,10175,119870.279
Park Slope,11215,125050.91154
Park Slope,11202,125050.91154
Pelham Parkway,10461,51104.05692
Pelham Parkway,10467,51104.05692
Queens Village,11427,90920.2133
Queens Village,11428,90920.2133
Queens Village,11429,90920.2133
Rego Park/Forest Hills,11374,79573.97737
Rego Park/Forest Hills,11375,79573.97737
Ridgewood/Glendale,11385,69883.56942
Riverdale,10463,69235.14898
Riverdale,10471,69235.14898
Sheepshead Bay,11229,61037.90299
Sheepshead Bay,11235,61037.90299
South Beach,10305,82874.41499
St. George,10301,62692.60914
Sunnyside/Woodside,11377,67543.42229
Sunset Park,11220,50731.6078
Sunset Park,11232,50731.6078
The Rockaways,11693,58710.09603
The Rockaways,11691,58710.09603
The Rockaways,11694,58710.09603
The Rockaways,11695,58710.09603
The Rockaways,11690,58710.09603
The Rockaways,11518,58710.09603
The Rockaways,11697,58710.09603
The Rockaways,11692,58710.09603
Throgs Neck,10465,57056.51172
Tottenville,10307,91101.95052
Tottenville,10309,91101.95052
Tottenville,10314,91101.95052
Tottenville,10313,91101.95052
Tottenville,10311,91101.95052
Tottenville,10306,91101.95052
Tottenville,10312,91101.95052
Tottenville,10304,91101.95052
Tottenville,10303,91101.95052
Tottenville,10308,91101.95052
Tottenville,10302,91101.95052
Tottenville,10310,91101.95052
Unionport/Soundview,10462,41268.9323
Unionport/Soundview,10472,41268.9323
Unionport/Soundview,10473,41268.9323
University Heights,10453,27128.20618
Upper East Side,10021,114935.32825
Upper East Side,10028,114935.32825
Upper East Side,10065,114935.32825
Upper East Side,10075,114935.32825
Upper East Side,10128,114935.32825
Upper West Side,10023,113349.05402
Upper West Side,10024,113349.05402
Upper West Side,10025,113349.05402
Upper West Side,10069,113349.05402
Upper West Side,10133,113349.05402
Washington Heights,10033,50828.08559
Washington Heights,10032,50828.08559
Washington Heights,10040,50828.08559
Washington Heights,10039,50828.08559
Williamsbridge,10466,53255.73583
Williamsbridge,10469,53255.73583
Woodhaven,11421,67837.34297
